Profissionais,Funcao,Servico,Duracao_Minutos,Pagamento_em_dinheiro_preço_fixo:,Pagamento_em_dinheiro_a_partir_de:,Pagamento_em_Pix_Débito_ou_Crédito_1X_de:,Pagamento_em_Pix_Débito_ou_Crédito_2X_de:,Pagamento_em_Pix_Débito_ou_Crédito_3X_de:,Pagamento_em_Pix_Débito_ou_Crédito_4X_de:,Pagamento_em_Pix_Débito_ou_Crédito_5X_de:,Requer_Avaliacao,Preco_valido_ate_20/12/2025_agendamento_após_serão_desconsiderados:
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar botox,60,,399,419,260,198,172,159,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar progressiva de ácido,60,,499,524,325,248,215,199,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar progressiva de formol,60,,499,524,325,248,215,199,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar realinhamento,60,,399,419,260,198,172,159,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar selagem,60,,399,419,260,198,172,159,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar semi definitiva,60,,599,629,390,298,258,239,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Babyliss sem mega hair ,30,89,,93,58,44,38,36,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Babyliss mega hair,30,99,,104,64,49,43,40,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Correção de cor cabelo com tonalizante ou coloração,60,,299,314,195,149,129,119,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Correção de mechas,60,,499,524,325,248,215,199,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo feminino,60,199,,209,130,99,86,79,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo infantil feminino,60,149,,156,97,74,64,59,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo infantil masculino,30,69,,72,45,34,30,28,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo masculino,30,69,,72,45,34,30,28,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Escova sem mega hair ,30,,119,125,77,59,51,47,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Escova mega hair,60,,199,209,130,99,86,79,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Lavar cabelo sem meha hair ,30,79,,83,51,39,34,32,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Lavar mega hair,30,99,,104,64,49,43,40,Nao,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas babylights,60,,799,839,520,397,344,319,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas californianas,60,,899,944,585,447,387,359,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas free hands,60,,999,1.049,650,497,430,399,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas highlights,60,,799,839,520,397,344,319,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ice blond,60,,899,944,585,447,387,359,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas iluminação,60,,699,734,455,347,301,279,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas low lights,60,,799,839,520,397,344,319,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas luzes,60,,699,734,455,347,301,279,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas micro lights,60,,699,734,455,347,301,279,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas morena iluminada,60,,799,839,520,397,344,319,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas nude blond,60,,799,839,520,397,344,319,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ombré hair,60,,799,839,520,397,344,319,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raíz,60,,699,734,455,347,301,279,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raiz comprimento e pontas,60,,999,1.049,650,497,430,399,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raíz e comprimento,60,,899,944,585,447,387,359,Sim,20/12/2025
"Alex, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas reverse balayage,60,,699,734,455,347,301,279,Sim,20/12/2025
