Profissionais,Funcao,Servico,Tempo Minutos ,Pagamento_em_dinheiro_preço_fixo:,Pagamento_em_dinheiro_a_partir_de:,Pagamento_em_Pix_Débito_ou_Crédito_1X_de:,Pagamento_em_Pix_Débito_ou_Crédito_2X_de:,Pagamento_em_Pix_Débito_ou_Crédito_3X_de:,Pagamento_em_Pix_Débito_ou_Crédito_4X_de:,Pagamento_em_Pix_Débito_ou_Crédito_5X_de:,Requer_Avaliacao,Preco_valido_ate_agendamento_após_serão_desconsiderados:
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Alisamento capilar botox,60,,"499,00","523,95","288,17","200,85","157,19","130,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Alisamento capilar progressiva de ácido,60,,"599,00","628,95","345,92","241,10","188,69","157,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Alisamento capilar progressiva de formol,60,,"599,00","628,95","345,92","241,10","188,69","157,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Alisamento capilar realinhamento,60,,"499,00","523,95","288,17","200,85","157,19","130,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Alisamento capilar selagem,60,,"499,00","523,95","288,17","200,85","157,19","130,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Alisamento capilar semi definitiva,60,,"699,00","733,95","403,67","281,35","220,19","183,49",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Babyliss sem mega hair ,30,"99,00",,"103,95","57,17","39,85","31,19","25,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Babyliss mega hair,30,"109,00",,"114,45","62,95","43,87","34,34","28,61",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Correção de cor cabelo com tonalizante ou coloração,60,,"399,00","418,95","230,42","160,60","125,69","104,74",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Correção de mechas,60,,"599,00","628,95","345,92","241,10","188,69","157,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Corte de cabelo feminino,60,"199,00",,"208,95","114,92","80,10","62,69","52,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Corte de cabelo infantil feminino,60,"149,00",,"156,45","86,05","59,97","46,94","39,11",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Corte de cabelo infantil masculino,30,"69,00",,"72,45","39,85","27,77","21,74","18,11",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Corte de cabelo masculino,30,"69,00",,"72,45","39,85","27,77","21,74","18,11",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Escova sem mega hair ,30,,"149,00","156,45","86,05","59,97","46,94","39,11",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Escova mega hair,60,,"249,00","261,45","143,80","100,22","78,44","65,36",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Lavar cabelo sem meha hair ,30,"99,00",,"103,95","57,17","39,85","31,19","25,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Lavar mega hair,30,"119,00",,"124,95","68,72","47,90","37,49","31,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas babylights,60,,"899,00","943,95","519,17","361,85","283,19","235,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas californianas,60,,"999,00","1048,95","576,92","402,10","314,69","262,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas free hands,60,,"1099,00","1153,95","634,67","442,35","346,19","288,49",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas highlights,60,,"899,00","943,95","519,17","361,85","283,19","235,99",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas ice blond,60,,"999,00","1048,95","576,92","402,10","314,69","262,24",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas iluminação,60,,"799,00","838,95","461,42","321,60","251,69","209,74",Não,23/12/2025
"Alex, Tatiane, Mariana, Meg, Carol",Cabeleireiro(a),Mechas low lights,60,,"899,00","943,95","519,17","361,85","283,19","235,99",Não,23/12/2025
