Profissional,Profissional,Profissional,Profissional,Profissional,Profissional,Função,Serviço,Tempo Minutos ,Valor Normal a partir de:,Valor Promocional a partir de:,Valor Promocional para Pagamento à vista em Dinheiro a partir de:,Valor Promocional para Pagamento em Pix Débito ou Cartão 1 X a partir de:,Valor Promocional para Pagamento em Cartão 2 X a partir de:,Valor Promocional para Pagamento em Cartão 3 X a partir de: ,Valor Promocional para Pagamento em Cartão 4 X a partir de:,Valor Promocional para Pagamento em Cartão 5 X a partir de:,Oferta válida:,Oferta válida até:
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Alisamento capilar botox,60,140,100,100,105,118,120,122,124,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Alisamento capilar progressiva de ácido,60,699,499,499,524,587,597,608,618,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Alisamento capilar progressiva de formol,60,699,499,499,524,587,597,608,618,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Alisamento capilar realinhamento,60,559,399,399,419,469,478,486,494,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Alisamento capilar selagem,60,559,399,399,419,469,478,486,494,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Alisamento capilar semi definitiva,60,839,599,599,629,704,717,730,742,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Babyliss,30,125,89,89,93,105,107,108,110,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Babyliss mega hair,30,139,99,99,104,116,119,121,123,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Correção de cor cabelo com tonalizante ou coloração ,60,419,299,299,314,352,358,364,370,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Correção de mechas ,60,699,499,499,524,587,597,608,618,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Corte de cabelo feminino,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Corte de cabelo infantil feminino,60,209,149,149,156,175,178,181,185,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Corte de cabelo infantil masculino ,30,97,69,69,72,81,83,84,85,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Corte de cabelo masculino,30,97,69,69,72,81,83,84,85,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Escova,30,167,119,119,125,140,142,145,147,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Escova mega hair,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Lavar cabelo ,30,111,79,79,83,93,95,96,98,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Lavar mega hair,30,139,99,99,104,116,119,121,123,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas babylights,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas californianas,60,1.259,899,899,944,1.057,1.076,1.095,1.114,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas free hands,60,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas highlights,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas ice blond,60,1.259,899,899,944,1.057,1.076,1.095,1.114,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas iluminação,60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas low lights,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas luzes,60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas micro lights,60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas morena iluminada,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas nude blond,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas ombré hair,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas retoque de raíz,60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas retoque de raiz comprimento e pontas ,60,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Sim,20/12/2025
