Profissionais,Funcao,Servico,Duracao_Minutos,Preco_Avista,Preco_2x,Preco_3x,Preco_4x,Preco_5x,Requer_Avaliacao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar botox,60,100,118,120,122,124,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar progressiva de ácido,60,499,587,597,608,618,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar progressiva de formol,60,499,587,597,608,618,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar realinhamento,60,399,469,478,486,494,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar selagem,60,399,469,478,486,494,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar semi definitiva,60,599,704,717,730,742,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Babyliss,30,89,105,107,108,110,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Babyliss mega hair,30,99,116,119,121,123,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Correção de cor cabelo com tonalizante ou coloração,60,299,352,358,364,370,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Correção de mechas,60,499,587,597,608,618,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo feminino,60,199,234,238,242,247,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo infantil feminino,60,149,175,178,181,185,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo infantil masculino,30,69,81,83,84,85,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo masculino,30,69,81,83,84,85,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Escova,30,119,140,142,145,147,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Escova mega hair,60,199,234,238,242,247,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Lavar cabelo,30,79,93,95,96,98,Nao
