Profissionais,Funcao,Servico,Duracao_Minutos,Preco_Dinheiro,Preco_Pix_Debito_Credito,Parcela_2x,Parcela_3x,Parcela_4x,Parcela_5x,Requer_Avaliacao,Preco_valido_ate
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar botox,60,399,419,209.50,156.33,119.50,97.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar progressiva de ácido,60,499,587,293.50,199.00,152.00,123.60,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar progressiva de formol,60,499,587,293.50,199.00,152.00,123.60,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar realinhamento,60,399,469,234.50,159.33,121.50,98.80,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar selagem,60,399,469,234.50,159.33,121.50,98.80,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Alisamento capilar semi definitiva,60,599,704,352.00,239.00,182.50,148.40,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Babyliss,30,89,105,52.50,35.67,27.00,22.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Babyliss mega hair,30,99,116,58.00,39.67,30.25,24.60,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Correção de cor cabelo com tonalizante ou coloração,60,299,352,176.00,119.33,91.00,74.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Correção de mechas,60,499,587,293.50,199.00,152.00,123.60,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo feminino,60,199,234,117.00,79.33,60.50,49.40,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo infantil feminino,60,149,175,87.50,59.33,45.25,37.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo infantil masculino,30,69,81,40.50,27.67,21.00,17.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Corte de cabelo masculino,30,69,81,40.50,27.67,21.00,17.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Escova,30,119,140,70.00,47.33,36.25,29.40,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Escova mega hair,60,199,234,117.00,79.33,60.50,49.40,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Lavar cabelo,30,79,93,46.50,31.67,24.00,19.60,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Lavar mega hair,30,99,116,58.00,39.67,30.25,24.60,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas babylights,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas californianas,60,899,1057,528.50,358.67,273.75,222.80,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas free hands,60,999,1175,587.50,398.67,304.25,247.60,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas highlights,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ice blond,60,899,1057,528.50,358.67,273.75,222.80,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas iluminação,60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas low lights,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas luzes,60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas micro lights,60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas morena iluminada,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas nude blond,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ombré hair,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raíz,60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raiz comprimento e pontas,60,999,1175,587.50,398.67,304.25,247.60,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raíz e comprimento,60,899,1057,528.50,358.67,273.75,222.80,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas reverse balayage,60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas slice,60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas slice and weave,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas tradicionais,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ultra babylights,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas vanilla blond,60,799,940,470.00,318.67,243.25,198.00,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas weaving (tricotagem),60,699,822,411.00,279.00,212.75,173.20,Sim,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Retoque de raiz coloração ou tonalizante,60,199,234,117.00,79.33,60.50,49.40,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Secar cabelo,30,79,93,46.50,31.67,24.00,19.60,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Secar cabelo mega hair,30,119,140,70.00,47.33,36.25,29.40,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tonalização de cabelo coloração ou tonalizante,60,199,234,117.00,79.33,60.50,49.40,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tonalização de loiros coloração ou tonalizante,60,299,352,176.00,119.33,91.00,74.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tonalização de mechas coloração ou tonalizante,60,299,352,176.00,119.33,91.00,74.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Joico + escova,60,249,293,146.50,99.33,75.75,61.80,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Kerastase + escova,60,299,352,176.00,119.33,91.00,74.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Keune + escova,60,299,352,176.00,119.33,91.00,74.00,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara LOreal + escova,60,249,293,146.50,99.33,75.75,61.80,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara Wella + escova,60,249,293,146.50,99.33,75.75,61.80,Nao,20/12/2025
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Tratamento capilar máscara genérica + escova,60,199,234,117.00,79.33,60.50,49.40,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento colorimetria,600,1499,1763,881.50,598.00,456.50,371.40,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento corte de cabelo,600,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento de gestão de salão de beleza,1200,4999,5879,2939.50,1994.67,1522.25,1238.80,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento de mechas,1200,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento de mechas morena iluminada,1200,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento escova,600,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento neutralização,600,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento penteados,600,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Maikel,Cabeleireiro(a),Curso e treinamento tratamento capilar,240,999,1175,587.50,398.67,304.25,247.60,Nao,20/12/2025
Vanessa,Micropigmentadora,BB glow,60,1499,1763,881.50,598.00,456.50,371.40,Sim,20/12/2025
Vanessa,Micropigmentadora,BB lips,60,1499,1763,881.50,598.00,456.50,371.40,Sim,20/12/2025
Vanessa,Designer de Sobrancelhas,Brow lamination,90,259,305,152.50,103.33,78.75,64.20,Nao,20/12/2025
Vanessa,Designer de Sobrancelhas,Brow lamination com aplicação de refectocil,90,289,340,170.00,115.33,88.00,71.60,Nao,20/12/2025
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas,60,89,105,52.50,35.67,27.00,22.00,Nao,20/12/2025
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas com aplicação de henna,60,139,163,81.50,55.33,42.25,34.40,Nao,20/12/2025
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas com aplicação de refectocil,60,149,175,87.50,59.33,45.25,37.00,Nao,20/12/2025
Vanessa,Designer de Sobrancelhas,Design de sobrancelhas estratégico,60,99,116,58.00,39.67,30.25,24.60,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem corporativa,120,349,410,205.00,139.33,106.25,86.40,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem debutante,120,499,587,293.50,199.00,152.00,123.60,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem dia a dia,120,349,410,205.00,139.33,106.25,86.40,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem fotos e redes sociais,120,399,469,234.50,159.33,121.50,98.80,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem natural glow,120,349,410,205.00,139.33,106.25,86.40,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem noturna,120,399,469,234.50,159.33,121.50,98.80,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem para eventos,120,399,469,234.50,159.33,121.50,98.80,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem para vídeos profissionais,120,499,587,293.50,199.00,152.00,123.60,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica cinematográfica,120,499,587,293.50,199.00,152.00,123.60,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica make express,120,349,410,205.00,139.33,106.25,86.40,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica noiva,120,599,704,352.00,239.00,182.50,148.40,Nao,20/12/2025
"Vanessa, Iohana, Cristiane",Maquiadora,Maquiagem técnica madrinha,120,399,469,234.50,159.33,121.50,98.80,Nao,20/12/2025
